Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Ecotype,env_biome,env_feature,env_material,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,isol_growth_condt,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,plant_body_site,Platform,ReleaseDate,samp_mat_process,Sample Name,source_material_ID,SRA Study
SRR6658409,AMPLICON,601,42837845,PRJNA430505,SAMN08428415,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.plant-associated",31081634,UNIVERSITY OF TUEBINGEN,06-Dec-2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",missing,farm,track,plant matter,SRX3635812,Germany,Europe,Germany: Kirchentellinsfurt,Arabidopsis thaliana,Illumina MiSeq,missing,48.541272 N 9.092683 E,BacV3.C26_sample348,PAIRED,PCR,METAGENOMIC,phyllosphere metagenome,vegetative shoot system,ILLUMINA,2018-06-26T00:00:00Z,Collection of endophytic microbes,348_Endo_JUG_Fall_2016_plant36,348,SRP131882
SRR6658410,AMPLICON,601,23852614,PRJNA430505,SAMN08428087,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.plant-associated",17402904,UNIVERSITY OF TUEBINGEN,01-Dec-2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",missing,area of developed space with high usage intensity,public road,plant matter,SRX3635811,Germany,Europe,"Germany: Rottenburg am Neckar\, Wendelsheim",Arabidopsis thaliana,Illumina MiSeq,missing,48.541272 N 9.092683 E,BacV3.C27_sample20,PAIRED,PCR,METAGENOMIC,phyllosphere metagenome,vegetative shoot system,ILLUMINA,2018-06-26T00:00:00Z,Collection of epiphytic microbes,20_Epi_WH_Fall_2015_plant20,20,SRP131882
SRR6658411,AMPLICON,601,44462429,PRJNA430505,SAMN08428307,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.plant-associated",31965212,UNIVERSITY OF TUEBINGEN,28-Mar-2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",missing,area of cropland,farm,plant matter,SRX3635810,Germany,Europe,Germany: Tuebingen,Arabidopsis thaliana,Illumina MiSeq,missing,48.541272 N 9.092683 E,BacV3.C28_sample240,PAIRED,PCR,METAGENOMIC,phyllosphere metagenome,vegetative shoot system,ILLUMINA,2018-06-26T00:00:00Z,Collection of endophytic microbes,240_Endo_PFN_Spring_2016_plant19,240,SRP131882
SRR6658412,AMPLICON,601,36879135,PRJNA430505,SAMN08428352,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.plant-associated",26808128,UNIVERSITY OF TUEBINGEN,27-Mar-2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",missing,area of developed space with low usage intensity,public road,plant matter,SRX3635809,Germany,Europe,"Germany: Tuebingen\, road K6911",Arabidopsis thaliana,Illumina MiSeq,missing,48.541272 N 9.092683 E,BacV3.C29_sample285,PAIRED,PCR,METAGENOMIC,phyllosphere metagenome,vegetative shoot system,ILLUMINA,2018-06-26T00:00:00Z,Collection of epiphytic microbes,285_Epi_K6911_Spring_2016_plant9,285,SRP131882
SRR6658413,AMPLICON,601,46198635,PRJNA430505,SAMN08428142,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.plant-associated",33610148,UNIVERSITY OF TUEBINGEN,01-Dec-2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",missing,area of developed space with high usage intensity,residencial building,plant matter,SRX3635808,Germany,Europe,Germany: Ergenzingen,Arabidopsis thaliana,Illumina MiSeq,missing,48.541272 N 9.092683 E,BacV3.C3_sample75,PAIRED,PCR,METAGENOMIC,phyllosphere metagenome,vegetative shoot system,ILLUMINA,2018-06-26T00:00:00Z,Collection of epiphytic microbes,75_Epi_ERG_Fall_2015_plant21,75,SRP131882
SRR6658414,AMPLICON,601,17223197,PRJNA430505,SAMN08428327,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.plant-associated",12754679,UNIVERSITY OF TUEBINGEN,28-Mar-2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",missing,area of cropland,farm,plant matter,SRX3635807,Germany,Europe,Germany: Tuebingen,Arabidopsis thaliana,Illumina MiSeq,missing,48.541272 N 9.092683 E,BacV3.C30_sample260,PAIRED,PCR,METAGENOMIC,phyllosphere metagenome,vegetative shoot system,ILLUMINA,2018-06-26T00:00:00Z,Collection of epiphytic microbes,260_Epi_PFN_Spring_2016_plant18,260,SRP131882
SRR6658415,AMPLICON,600,25389062,PRJNA430505,SAMN08428072,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.plant-associated",17024797,UNIVERSITY OF TUEBINGEN,02-Apr-2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",missing,area of developed space with high usage intensity,public road,plant matter,SRX3635806,Germany,Europe,"Germany: Rottenburg am Neckar\, Wendelsheim",Arabidopsis thaliana,Illumina MiSeq,missing,48.506827 N 8.936418 E,BacV3.B32_sample5,PAIRED,PCR,METAGENOMIC,phyllosphere metagenome,vegetative shoot system,ILLUMINA,2018-06-26T00:00:00Z,Collection of epiphytic microbes,5_Epi_WH_Spring_2014_plant5,5,SRP131882
SRR6658416,AMPLICON,600,43141935,PRJNA430505,SAMN08428268,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.plant-associated",29811462,UNIVERSITY OF TUEBINGEN,02-Apr-2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",missing,farm,track,plant matter,SRX3635805,Germany,Europe,Germany: Kirchentellinsfurt,Arabidopsis thaliana,Illumina MiSeq,missing,48.541272 N 9.092683 E,BacV3.B33_sample201,PAIRED,PCR,METAGENOMIC,phyllosphere metagenome,vegetative shoot system,ILLUMINA,2018-06-26T00:00:00Z,Collection of epiphytic microbes,201_Epi_JUG_Spring_2014_plant6,201,SRP131882
SRR6658417,AMPLICON,600,4441495,PRJNA430505,SAMN08428374,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.plant-associated",3207299,UNIVERSITY OF TUEBINGEN,05-Dec-2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",missing,area of developed space with low usage intensity,railway,plant matter,SRX3635804,Germany,Europe,Germany: Eyach,Arabidopsis thaliana,Illumina MiSeq,missing,48.541272 N 9.092683 E,BacV3.B30_sample307,PAIRED,PCR,METAGENOMIC,phyllosphere metagenome,vegetative shoot system,ILLUMINA,2018-06-26T00:00:00Z,Collection of epiphytic microbes,307_Epi_EY_Fall_2016_plant37,307,SRP131882
SRR6658418,AMPLICON,601,33800719,PRJNA430505,SAMN08428076,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.plant-associated",23081506,UNIVERSITY OF TUEBINGEN,03-Dec-2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",missing,area of developed space with high usage intensity,public road,plant matter,SRX3635803,Germany,Europe,"Germany: Rottenburg am Neckar\, Wendelsheim",Arabidopsis thaliana,Illumina MiSeq,missing,48.541272 N 9.092683 E,BacV3.B31_sample9,PAIRED,PCR,METAGENOMIC,phyllosphere metagenome,vegetative shoot system,ILLUMINA,2018-06-26T00:00:00Z,Collection of epiphytic microbes,9_Epi_WH_Fall_2014_plant9,9,SRP131882
SRR6658419,AMPLICON,600,705218,PRJNA430505,SAMN08428362,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.plant-associated",544627,UNIVERSITY OF TUEBINGEN,05-Dec-2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",missing,area of developed space with high usage intensity,residencial building,plant matter,SRX3635802,Germany,Europe,Germany: Ergenzingen,Arabidopsis thaliana,Illumina MiSeq,missing,48.506827 N 8.936418 E,BacV3.B36_sample295,PAIRED,PCR,METAGENOMIC,phyllosphere metagenome,vegetative shoot system,ILLUMINA,2018-06-26T00:00:00Z,Collection of epiphytic microbes,295_Epi_ERG_Fall_2016_plant36,295,SRP131882
SRR6658420,AMPLICON,600,46916761,PRJNA430505,SAMN08428128,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.plant-associated",30294974,UNIVERSITY OF TUEBINGEN,01-Dec-2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",missing,area of developed space with high usage intensity,public road,plant matter,SRX3635801,Germany,Europe,"Germany: Rottenburg am Neckar\, Wendelsheim",Arabidopsis thaliana,Illumina MiSeq,missing,48.541272 N 9.092683 E,BacV3.B38_sample61,PAIRED,PCR,METAGENOMIC,phyllosphere metagenome,vegetative shoot system,ILLUMINA,2018-06-26T00:00:00Z,Collection of endophytic microbes,61_Endo_WH_Fall_2015_plant19,61,SRP131882
SRR6658421,AMPLICON,600,45419383,PRJNA430505,SAMN08428398,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.plant-associated",30501086,UNIVERSITY OF TUEBINGEN,05-Dec-2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",missing,area of developed space with high usage intensity,public road,plant matter,SRX3635800,Germany,Europe,"Germany: Rottenburg am Neckar\, Wendelsheim",Arabidopsis thaliana,Illumina MiSeq,missing,48.506827 N 8.936418 E,BacV3.B34_sample331,PAIRED,PCR,METAGENOMIC,phyllosphere metagenome,vegetative shoot system,ILLUMINA,2018-06-26T00:00:00Z,Collection of endophytic microbes,331_Endo_WH_Fall_2016_plant35,331,SRP131882
SRR6658422,AMPLICON,601,43860821,PRJNA430505,SAMN08428137,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.plant-associated",30323817,UNIVERSITY OF TUEBINGEN,27-Mar-2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",missing,area of developed space with high usage intensity,public road,plant matter,SRX3635799,Germany,Europe,"Germany: Rottenburg am Neckar\, Wendelsheim",Arabidopsis thaliana,Illumina MiSeq,missing,48.506827 N 8.936418 E,BacV3.B35_sample70,PAIRED,PCR,METAGENOMIC,phyllosphere metagenome,vegetative shoot system,ILLUMINA,2018-06-26T00:00:00Z,Collection of endophytic microbes,70_Endo_WH_Spring_2016_plant28,70,SRP131882
SRR6658423,AMPLICON,601,4157614,PRJNA430505,SAMN08428321,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.plant-associated",2921648,UNIVERSITY OF TUEBINGEN,01-Dec-2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",missing,area of cropland,farm,plant matter,SRX3635798,Germany,Europe,Germany: Tuebingen,Arabidopsis thaliana,Illumina MiSeq,missing,48.541272 N 9.092683 E,BacV3.B39_sample254,PAIRED,PCR,METAGENOMIC,phyllosphere metagenome,vegetative shoot system,ILLUMINA,2018-06-26T00:00:00Z,Collection of epiphytic microbes,254_Epi_PFN_Fall_2015_plant12,254,SRP131882
SRR6658424,AMPLICON,600,45205389,PRJNA430505,SAMN08428405,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.plant-associated",29253155,UNIVERSITY OF TUEBINGEN,05-Dec-2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",missing,area of developed space with low usage intensity,public road,plant matter,SRX3635797,Germany,Europe,"Germany: Tuebingen\, road K6911",Arabidopsis thaliana,Illumina MiSeq,missing,48.541272 N 9.092683 E,BacV3.B4_sample338,PAIRED,PCR,METAGENOMIC,phyllosphere metagenome,vegetative shoot system,ILLUMINA,2018-06-26T00:00:00Z,Collection of endophytic microbes,338_Endo_K6911_Fall_2016_plant14,338,SRP131882
SRR6658425,AMPLICON,601,34387445,PRJNA430505,SAMN08428309,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.plant-associated",24781770,UNIVERSITY OF TUEBINGEN,28-Mar-2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",missing,area of cropland,farm,plant matter,SRX3635796,Germany,Europe,Germany: Tuebingen,Arabidopsis thaliana,Illumina MiSeq,missing,48.541272 N 9.092683 E,BacV3.C13_sample242,PAIRED,PCR,METAGENOMIC,phyllosphere metagenome,vegetative shoot system,ILLUMINA,2018-06-26T00:00:00Z,Collection of endophytic microbes,242_Endo_PFN_Spring_2016_plant21,242,SRP131882
SRR6658426,AMPLICON,601,36917221,PRJNA430505,SAMN08428274,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.plant-associated",26673212,UNIVERSITY OF TUEBINGEN,03-Dec-2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",missing,farm,track,plant matter,SRX3635795,Germany,Europe,Germany: Kirchentellinsfurt,Arabidopsis thaliana,Illumina MiSeq,missing,48.541272 N 9.092683 E,BacV3.C14_sample207,PAIRED,PCR,METAGENOMIC,phyllosphere metagenome,vegetative shoot system,ILLUMINA,2018-06-26T00:00:00Z,Collection of epiphytic microbes,207_Epi_JUG_Fall_2014_plant12,207,SRP131882
SRR6658427,AMPLICON,600,5940138,PRJNA430505,SAMN08428363,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.plant-associated",4034903,UNIVERSITY OF TUEBINGEN,05-Dec-2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",missing,area of developed space with high usage intensity,public road,plant matter,SRX3635794,Germany,Europe,"Germany: Rottenburg am Neckar\, Wendelsheim",Arabidopsis thaliana,Illumina MiSeq,missing,48.541272 N 9.092683 E,BacV3.B6_sample296,PAIRED,PCR,METAGENOMIC,phyllosphere metagenome,vegetative shoot system,ILLUMINA,2018-06-26T00:00:00Z,Collection of epiphytic microbes,296_Epi_WH_Fall_2016_plant31,296,SRP131882
SRR6658428,AMPLICON,600,19336630,PRJNA430505,SAMN08428209,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.plant-associated",12998145,UNIVERSITY OF TUEBINGEN,27-Mar-2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",missing,area of developed space with low usage intensity,railway,plant matter,SRX3635793,Germany,Europe,Germany: Eyach,Arabidopsis thaliana,Illumina MiSeq,missing,48.541272 N 9.092683 E,BacV3.B7_sample142,PAIRED,PCR,METAGENOMIC,phyllosphere metagenome,vegetative shoot system,ILLUMINA,2018-06-26T00:00:00Z,Collection of epiphytic microbes,142_Epi_EY_Spring_2016_plant28,142,SRP131882
SRR6658429,AMPLICON,600,38585825,PRJNA430505,SAMN08428154,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.plant-associated",25994386,UNIVERSITY OF TUEBINGEN,02-Apr-2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",missing,area of developed space with low usage intensity,railway,plant matter,SRX3635792,Germany,Europe,Germany: Eyach,Arabidopsis thaliana,Illumina MiSeq,missing,48.506827 N 8.936418 E,BacV3.B8_sample87,PAIRED,PCR,METAGENOMIC,phyllosphere metagenome,vegetative shoot system,ILLUMINA,2018-06-26T00:00:00Z,Collection of epiphytic microbes,87_Epi_EY_Spring_2014_plant3,87,SRP131882
SRR6658430,AMPLICON,600,34191230,PRJNA430505,SAMN08428123,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.plant-associated",21951040,UNIVERSITY OF TUEBINGEN,03-Dec-2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",missing,area of developed space with high usage intensity,public road,plant matter,SRX3635791,Germany,Europe,"Germany: Rottenburg am Neckar\, Wendelsheim",Arabidopsis thaliana,Illumina MiSeq,missing,48.506827 N 8.936418 E,BacV3.B9_sample56,PAIRED,PCR,METAGENOMIC,phyllosphere metagenome,vegetative shoot system,ILLUMINA,2018-06-26T00:00:00Z,Collection of endophytic microbes,56_Endo_WH_Fall_2014_plant8,56,SRP131882
SRR6658431,AMPLICON,601,45821459,PRJNA430505,SAMN08428275,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.plant-associated",32988677,UNIVERSITY OF TUEBINGEN,03-Dec-2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",missing,farm,track,plant matter,SRX3635790,Germany,Europe,Germany: Kirchentellinsfurt,Arabidopsis thaliana,Illumina MiSeq,missing,48.541272 N 9.092683 E,BacV3.C1_sample208,PAIRED,PCR,METAGENOMIC,phyllosphere metagenome,vegetative shoot system,ILLUMINA,2018-06-26T00:00:00Z,Collection of epiphytic microbes,208_Epi_JUG_Fall_2014_plant13,208,SRP131882
SRR6658432,AMPLICON,601,48684823,PRJNA430505,SAMN08428166,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.plant-associated",34973836,UNIVERSITY OF TUEBINGEN,03-Dec-2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",missing,area of developed space with high usage intensity,residencial building,plant matter,SRX3635789,Germany,Europe,Germany: Ergenzingen,Arabidopsis thaliana,Illumina MiSeq,missing,48.541272 N 9.092683 E,BacV3.C10_sample99,PAIRED,PCR,METAGENOMIC,phyllosphere metagenome,vegetative shoot system,ILLUMINA,2018-06-26T00:00:00Z,Collection of endophytic microbes,99_Endo_ERG_Fall_2014_plant9,99,SRP131882
SRR6658433,AMPLICON,601,36929903,PRJNA430505,SAMN08428168,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.plant-associated",26378228,UNIVERSITY OF TUEBINGEN,03-Dec-2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",missing,area of developed space with high usage intensity,residencial building,plant matter,SRX3635788,Germany,Europe,Germany: Ergenzingen,Arabidopsis thaliana,Illumina MiSeq,missing,48.541272 N 9.092683 E,BacV3.C11_sample101,PAIRED,PCR,METAGENOMIC,phyllosphere metagenome,vegetative shoot system,ILLUMINA,2018-06-26T00:00:00Z,Collection of endophytic microbes,101_Endo_ERG_Fall_2014_plant11,101,SRP131882
SRR6658434,AMPLICON,601,5992393,PRJNA430505,SAMN08428324,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.plant-associated",4410141,UNIVERSITY OF TUEBINGEN,01-Dec-2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",missing,area of cropland,farm,plant matter,SRX3635787,Germany,Europe,Germany: Tuebingen,Arabidopsis thaliana,Illumina MiSeq,missing,48.541272 N 9.092683 E,BacV3.C12_sample257,PAIRED,PCR,METAGENOMIC,phyllosphere metagenome,vegetative shoot system,ILLUMINA,2018-06-26T00:00:00Z,Collection of epiphytic microbes,257_Epi_PFN_Fall_2015_plant15,257,SRP131882
SRR6658435,AMPLICON,600,49114246,PRJNA430505,SAMN08428338,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.plant-associated",32618723,UNIVERSITY OF TUEBINGEN,27-Mar-2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",missing,area of developed space with low usage intensity,public road,plant matter,SRX3635786,Germany,Europe,"Germany: Tuebingen\, road K6911",Arabidopsis thaliana,Illumina MiSeq,missing,48.541272 N 9.092683 E,BacV3.E10_sample271,PAIRED,PCR,METAGENOMIC,phyllosphere metagenome,vegetative shoot system,ILLUMINA,2018-06-26T00:00:00Z,Collection of endophytic microbes,271_Endo_K6911_Spring_2016_plant8,271,SRP131882
SRR6658436,AMPLICON,600,48894052,PRJNA430505,SAMN08428205,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.plant-associated",32760629,UNIVERSITY OF TUEBINGEN,01-Dec-2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",missing,area of developed space with low usage intensity,railway,plant matter,SRX3635785,Germany,Europe,Germany: Eyach,Arabidopsis thaliana,Illumina MiSeq,missing,48.506827 N 8.936418 E,BacV3.E1_sample138,PAIRED,PCR,METAGENOMIC,phyllosphere metagenome,vegetative shoot system,ILLUMINA,2018-06-26T00:00:00Z,Collection of epiphytic microbes,138_Epi_EY_Fall_2015_plant24,138,SRP131882
