Sequence_ID	Tour_ID	Site_ID	Plant_ID	Albugo	Necrosis	Host_Species	ClimateZ	Land_cov	Site_name	Site_Name	Correct_Species	For	Lat	Long	HpA_plant	HpA_where	HpA_site	Albugo_tour	Developmental_state	R_diameter	Rosette_color	Herbivory	Disease_RL	Ath.Ath	Ath.other	Growing_on	Humidity_ground	Slope	Sun	Site_type	Site_category	Aspect	Ground_cover	Ground_type	Heterogeneity	Strata_herbs	Strata_shrubs	Strata_trees	Strata_wall_shrub	Strata_wall_tree	Strata_road	Strata_water	Elevation	Date	Air_temp	Air_hum	Soil_temp	Soil_hum	Pop_size	tmax	tmin	vap	ppt	srad	soil	ws	aet	def	PDSI	vpd	pet
PA0732.P0175.BAL	BAL	P0175	PA0732	NA	NA	Soil	Cfb	130	Dolen	Dolen		M	41.61943	23.93737	0		1	0	3	6	1	2	3	6	1	9	3	3	3	4	1	S, E	4	3, 5	1	20	NA	40	20	NA	20	NA	1047	20180408	20.8	25.8	20.4	0.66	50	9.81428571428571	1.41428571428571	0.647142857142857	61.2857142857143	109.714285714286	88.7142857142857	2.35714285714286	36.4285714285714	4	-0.2	0.341428571428571	40.2857142857143
PA0735.P0175.BAL	BAL	P0175	PA0735	NA	NA	Soil	Cfb	70	Dolen	Dolen		M	41.61943	23.93737	0		1	0	3	3	1	1	1	6	3	9	3	4	3	4	1	S, E	4	3, 5	1	20	NA	40	20	NA	20	NA	1047	20180408	20.8	25.8	20.4	0.66	50	9.81428571428571	1.41428571428571	0.647142857142857	61.2857142857143	109.714285714286	88.7142857142857	2.35714285714286	36.4285714285714	4	-0.2	0.341428571428571	40.2857142857143
PA0738.P0176.BAL	BAL	P0176	PA0738	NA	NA	Soil	Cfb	70	Baroto	Baroto		M	41.57778	23.76864	0		1	0	3	2	2, 5	1	1	4	1	9	2	1	1	1	2	A	5	5	1	60	10	NA	NA	NA	30	NA	496	20180408	35.6	16.5	34.2	0.71	50	11.7	2.95714285714286	0.742857142857143	56.7142857142857	109.285714285714	91.1428571428571	1.85714285714286	38.1428571428571	4.28571428571429	-0.0714285714285714	0.384285714285714	42.5714285714286
PA0741.P0176.BAL	BAL	P0176	PA0741	NA	NA	Soil	Cfb	120	Baroto	Baroto		M	41.57778	23.76864	0		1	0	3	3	1, 3, 4, 6	2	4	3	1	9	2	3	1	1	2	A	5	5	1	60	10	NA	NA	NA	30	NA	496	20180408	35.6	16.5	34.2	0.71	50	11.7	2.95714285714286	0.742857142857143	56.7142857142857	109.285714285714	91.1428571428571	1.85714285714286	38.1428571428571	4.28571428571429	-0.0714285714285714	0.384285714285714	42.5714285714286
PA0744.P0177.BAL	BAL	P0177	PA0744	NA	NA	Soil	Cfb	120	Sorbe3	Sorbe3		M	41.58686	23.5561	0		1	0	1	3	1	2	3	6	3	2, 5	2	1	2	1	4	A	1	2, 3	1	30	5	NA	NA	10	45	10	1016	20180409	21.7	30.2	21.1	0.6	50	7.7	-0.385714285714286	0.554285714285714	67	108.857142857143	93	3.1	33.1428571428571	2.71428571428571	-0.385714285714286	0.304285714285714	35.7142857142857
PA0747.P0177.BAL	BAL	P0177	PA0747	NA	NA	Soil	Cfb	130	Sorbe3	Sorbe3		M	41.58686	23.5561	0		1	0	2	3	1, 5	2	3	6	4	2, 5	2	1	2	1	4	A	1	2, 3	1	30	5	NA	NA	10	45	10	1016	20180409	21.7	30.2	21.1	0.6	50	7.7	-0.385714285714286	0.554285714285714	67	108.857142857143	93	3.1	33.1428571428571	2.71428571428571	-0.385714285714286	0.304285714285714	35.7142857142857
PA0751.P0178.BAL	BAL	P0178	PA0751	NA	NA	Soil	Cfb	130	Melni1	Melni1		M	41.53279	23.40075	0		1	0	3	3	1, 5, 6, 7	1	3	6	1	5	2	1	3	1	4	N, W	3	2, 3	1	40	10	10	NA	20	20	NA	435	20180409	25.7	32	n/a	n/a	200	12.5142857142857	3.75714285714286	0.752857142857143	53.2857142857143	109.285714285714	86.8571428571429	1.77142857142857	39.4285714285714	5.28571428571429	-0.471428571428571	0.434285714285714	44.7142857142857
PA0754.P0178.BAL	BAL	P0178	PA0754	NA	NA	Soil	Cfb	120	Melni1	Melni1		M	41.53279	23.40075	0		1	0	4	3	1, 5, 2007	2	3	5	1	2, 5	2	1	3	1	4	N, W	3	2, 3	1	40	10	10	NA	20	20	NA	435	20180409	25.7	32	n/a	n/a	200	12.5142857142857	3.75714285714286	0.752857142857143	53.2857142857143	109.285714285714	86.8571428571429	1.77142857142857	39.4285714285714	5.28571428571429	-0.471428571428571	0.434285714285714	44.7142857142857
PA0760.P0180.BAL	BAL	P0180	PA0760	NA	NA	Soil	Dfb	120	Dolna	Dolna		M	42.32156	23.09941	0		0	0	2	4	1	3	3	4	3	6	2	1	3	5	2	W	2	3	1	30	30	10	NA	NA	30	NA	575	20180410	24.1	33.7	25.9	0.99	50	10.7142857142857	1.68571428571429	0.684285714285714	59.7142857142857	102.714285714286	77.8571428571429	2.25714285714286	36.5714285714286	3.85714285714286	2.2	0.367142857142857	40.4285714285714
PA0832.P0165.GEN	GEN	P0165	PA0832	NA	NA	Soil	Cfb	30	Osnabrück	Osnabrück		M	52.30192	8.02299	0		0	0	4	3	1, 7, 2008	3	3	3	4	4	3	1	2	12	3	A	5	5	1	30	NA	NA	NA	NA	70	NA	59	20180505	25.9	32.6	25.9	0.33	300	10.5714285714286	3.97142857142857	0.798571428571429	63.5714285714286	91.5714285714286	66.4285714285714	4.12857142857143	31	12.7142857142857	-0.428571428571429	0.331428571428571	43.7142857142857
PA0836.P0165.GEN	GEN	P0165	PA0836	NA	NA	Soil	Cfb	30	Osnabrück	Osnabrück		M	52.30192	8.02299	0		0	0	4	4	3, 5, 2007	3	3	6	1	6, 9	2	1	2	12	3	A	5	5	1	30	NA	NA	NA	NA	70	NA	59	20180505	25.9	32.6	25.9	0.33	300	10.5714285714286	3.97142857142857	0.798571428571429	63.5714285714286	91.5714285714286	66.4285714285714	4.12857142857143	31	12.7142857142857	-0.428571428571429	0.331428571428571	43.7142857142857
PA0846.P314.SPN	SPN	P0314	PA0846	NA	NA	Soil	Cfb	70	TRS	TRS		M	43.36351	-5.49208	0		0	0	2	3	1	2	1	6	3	3, 4	3	1	3	3	3	A	3	2, 4	1	25	5	25	5	5	35	NA	237	20180511	22.5	54.6	n/a	n/a	50	13.9142857142857	7.01428571428571	0.995714285714286	103.857142857143	111.428571428571	198.285714285714	3.44285714285714	50.1428571428571	1	-4	0.314285714285714	51.1428571428571
PA0848.P286.SPN	SPN	P0286	PA0848	NA	NA	Soil	Csa	70	Alb	Alb		M	42.36986	-3.31093	0		0	0	2	3	1	2	1	5	3	6	3	2	3	11	2	W	1	3	1	70	10	20	NA	NA	NA	NA	973	20180512	17.4	53.2	13.7	8.43	200	9.62857142857143	1.32857142857143	0.671428571428571	74.8571428571429	122.857142857143	94.5714285714286	3.65714285714286	48.1428571428571	0.571428571428571	-2.41428571428571	0.291428571428571	48.7142857142857
PA0849.P286.SPN	SPN	P0286	PA0849	NA	NA	Soil	Csa	20	Alb	Alb		M	42.36984	-3.31094	0		0	0	2	2	1, 5	2	1	4	3	6	2	2	3	11	2	W	1	3	1	70	10	20	NA	NA	NA	NA	973	20180512	17.4	53.2	13.7	8.43	200	9.62857142857143	1.32857142857143	0.671428571428571	74.8571428571429	122.857142857143	94.5714285714286	3.65714285714286	48.1428571428571	0.571428571428571	-2.41428571428571	0.291428571428571	48.7142857142857
PA0853.P288.SPN	SPN	P0288	PA0853	NA	NA	Soil	Cfb	20	Oja	Oja		M	42.34696	-2.99666	0		0	0	4	2	1, 3, 2005	2	1	6	3	9	3	1	3	5	2	W	4	3, 5	1	70	5	10	NA	NA	15	NA	778	20180512	16.2	49.8	13.4	12.39	1000	10.5428571428571	2.15714285714286	0.714285714285714	68.7142857142857	123.285714285714	81.8571428571429	3.6	48.7142857142857	2.85714285714286	-2.04285714285714	0.31	51.4285714285714
PA0872.P287.SPN	SPN	P0287	PA0872	NA	NA	Soil	Csa	14	Aya	Aya		M	42.25175	-3.04591	0		0	0	2	3	1, 5	1	1	6	4	3, 6	2	2	3	13	3	S	3	3	1	30	20	10	NA	10	30	NA	1020	20180512	20.2	55.6	18.2	8.03	100	8.42857142857143	-0.142857142857143	0.622857142857143	86.8571428571429	124.714285714286	104	3.98571428571429	43.8571428571429	0	-3	0.254285714285714	43.8571428571429
PA0873.P287.SPN	SPN	P0287	PA0873	NA	NA	Soil	Csa	14	Aya	Aya		M	42.25175	-3.04591	0		0	0	2	3	1	1	1	6	4	3, 6	2	2	3	13	3	S	3	3	1	30	20	10	NA	10	30	NA	1020	20180512	20.2	55.6	18.2	8.03	100	8.42857142857143	-0.142857142857143	0.622857142857143	86.8571428571429	124.714285714286	104	3.98571428571429	43.8571428571429	0	-3	0.254285714285714	43.8571428571429
PA1043.P136.ENN	ENN	P0136	PA1043	NA	NA	Soil	Cfb	20	Old_Colwyn	Old_Colwyn		M	53.29245	-3.69683	0		0	0	3	3	1, 5	2	1	2	5	4	3	1	3	12	1	N	5	3, 4	1	10	20	20	NA	NA	50	NA	21	20180421	19.5	49.4	16.6	15.06	50	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PA1045.P136.ENN	ENN	P0136	PA1045	NA	NA	Soil	Cfb	20	Old_Colwyn	Old_Colwyn		M	53.29245	-3.69683	0		0	0	2	2	1	1	1	4	3	6, 4	3	1	3	12	1	N	5	3, 4	1	10	20	20	NA	NA	50	NA	21	20180421	19.5	49.4	16.6	15.06	50	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PA1056.P138.ENN	ENN	P0138	PA1056	NA	NA	Soil	Cfb	50	Ruthin	Ruthin		M	53.11388	-3.30541	0		0	0	3	3	2, 5	2	1	6	1	9	3	1	1	2	1	A	5	5	1	75	NA	10	NA	NA	15	NA	66	20180421	26.9	50.9	30.6	12.61	100	9.14285714285714	3.68571428571429	0.841428571428571	82.2857142857143	58.1428571428571	65	4.9	25.2857142857143	0	3.15714285714286	0.151428571428571	25.2857142857143
PA1064.P139.ENN	ENN	P0139	PA1064	NA	NA	Soil	Cfb	30	Chirk	Chirk		M	52.93189	-3.05634	0		0	0	2	3	1, 4	3	1	6	1	1, 4	3	1	3	12	1	A	3	1, 5	1	10	5	5	NA	30	50	NA	115	20180421	24.6	15.4	25.2	19.12	300	9.28571428571428	3.65714285714286	0.84	80.5714285714286	58.1428571428571	70	4.61428571428571	25.8571428571429	0	2.7	0.161428571428571	25.8571428571429
PA1064.P139.ENN_rep	ENN	P0139	PA1064	NA	NA	Soil	Cfb	30	Chirk	Chirk		M	52.93189	-3.05634	0		0	0	2	3	1, 4	3	1	6	1	1, 4	3	1	3	12	1	A	3	1, 5	1	10	5	5	NA	30	50	NA	115	20180421	24.6	15.4	25.2	19.12	300	9.28571428571428	3.65714285714286	0.84	80.5714285714286	58.1428571428571	70	4.61428571428571	25.8571428571429	0	2.7	0.161428571428571	25.8571428571429
PA1065.P139.ENN	ENN	P0139	PA1065	NA	NA	Soil	Cfb	50	Chirk	Chirk		M	52.93189	-3.05634	0		0	0	2	3	1, 4	1	5	3	3	6, 4	3	1	3	12	1	A	3	1, 5	1	10	5	5	NA	30	50	NA	115	20180421	24.6	15.4	25.2	19.12	300	9.28571428571428	3.65714285714286	0.84	80.5714285714286	58.1428571428571	70	4.61428571428571	25.8571428571429	0	2.7	0.161428571428571	25.8571428571429
PA1067.P140.ENN	ENN	P0140	PA1067	NA	NA	Soil	Cfb	50	Stanton-by-Dale	Stanton-by-Dale		M	52.9376	-1.30914	0		0	0	1	2	1, 5	1	1	1	4	1, 7	3	1	3	12	1	A	1	1, 4	1	5	NA	NA	25	20	50	NA	88	20180421	23.8	56.7	n/a	n/a	40	9.62857142857143	3.47142857142857	0.837142857142857	65.8571428571429	57.7142857142857	69.1428571428571	5.04285714285714	27.8571428571429	0	1.07142857142857	0.177142857142857	27.8571428571429
PA1080.P142.ENN	ENN	P0142	PA1080	NA	NA	Soil	Cfb	20	Southwell	Southwell		M	53.0771	-0.95371	0		0	0	2	4	1	2	1	6	5	4	4	1	4	6	1	A	4	1, 4	1	30	NA	NA	NA	65	5	NA	33	20180422	18.9	62.2	15.1	22.63	100	9.5	3.52857142857143	0.838571428571429	56.8571428571429	58.1428571428571	63.7142857142857	5.11428571428571	27.4285714285714	0	1.05714285714286	0.175714285714286	27.4285714285714
PA1117.P193.IRE	IRE	P0193	PA1117	NA	NA	Soil	Cfb	20	Bray	Bray		M	53.185585	-6.130672	0		1	0	3	2	1, 5	2	3	3	3	6, 7	4	2	3	12	1	A	4	3, 4	1	15	10	5	35	NA	35	NA	72	20180430	11.8	60.7	8.9	2.9	150	9.85714285714286	3.81428571428571	0.854285714285714	80.4285714285714	62.2857142857143	71	5.97142857142857	29	0	1.74285714285714	0.17	29
PA1119.P193.IRE	IRE	P0193	PA1119	NA	NA	Soil	Cfb	100	Bray	Bray		M	53.185585	-6.130672	0		1	0	4	3	2, 5	3	1	6	3	6, 7	3	2	4	12	1	A	4	3, 4	1	15	10	5	35	NA	35	NA	72	20180430	11.8	60.7	8.9	2.9	150	9.85714285714286	3.81428571428571	0.854285714285714	80.4285714285714	62.2857142857143	71	5.97142857142857	29	0	1.74285714285714	0.17	29
PA1126.P194.IRE	IRE	P0194	PA1126	NA	NA	Soil	Cfb	100	Rathnew	Rathnew		M	52.99227	-6.07541	0		1	0	3	3	1, 4	3	4	6	3	4	3	1	3	6	3	A	4	3, 5	2	60	NA	15	15	NA	10	NA	14	20180430	16.1	44.7	17.7	27.61	5000	9.95714285714286	4.12857142857143	0.872857142857143	90.1428571428571	62.5714285714286	72	6.21428571428571	29.1428571428571	0	1.82857142857143	0.162857142857143	29.1428571428571
PA1127.P194.IRE	IRE	P0194	PA1127	NA	NA	Soil	Cfb	20	Rathnew	Rathnew		M	52.99227	-6.07541	0		1	0	4	3	1, 5	1	1	2	6	3	3	1	2	6	3	A	4	3, 5	2	60	NA	15	15	NA	10	NA	14	20180430	16.1	44.7	17.7	27.61	5000	9.95714285714286	4.12857142857143	0.872857142857143	90.1428571428571	62.5714285714286	72	6.21428571428571	29.1428571428571	0	1.82857142857143	0.162857142857143	29.1428571428571
PA1141.P217.ENN	ENN	P0217	PA1141	NA	NA	Soil	Cfb	20	Settle	Settle		M	54.0691	-2.27695	0		0	0	2	3	1, 3	1	1	1	1	1, 4	4	1	3	12	1	S, W	2	1, 4	1	5	NA	NA	15	35	45	NA	141	20180423	11.7	65.3	n/a	n/a	30	8.25714285714286	2.24285714285714	0.78	142.714285714286	55.2857142857143	48	5.42857142857143	23.7142857142857	0	2.52857142857143	0.142857142857143	23.7142857142857
PA1141.P217.ENN_rep	ENN	P0217	PA1141	NA	NA	Soil	Cfb	20	Settle	Settle		M	54.0691	-2.27695	0		0	0	2	3	1, 3	1	1	1	1	1, 4	4	1	3	12	1	S, W	2	1, 4	1	5	NA	NA	15	35	45	NA	141	20180423	11.7	65.3	n/a	n/a	30	8.25714285714286	2.24285714285714	0.78	142.714285714286	55.2857142857143	48	5.42857142857143	23.7142857142857	0	2.52857142857143	0.142857142857143	23.7142857142857
PA1168.P222.ENN	ENN	P0222	PA1168	NA	NA	Soil	Cfb	20	Penrith	Penrith		M	54.66228	-2.75662	0		1	1	3	3	1, 5	1	5	6	6	2, 4	2	1	3	2	1	A	2	1, 4	1	90	NA	NA	10	NA	NA	NA	149	20180424	18.3	44.5	14.1	19.91	500	8.27142857142857	2.34285714285714	0.774285714285714	101.571428571429	55	48	4.78571428571429	23.7142857142857	0	2.9	0.151428571428571	23.7142857142857
PA1168.P222.ENN_rep	ENN	P0222	PA1168	NA	NA	Soil	Cfb	190	Penrith	Penrith		M	54.66228	-2.75662	0		1	1	3	3	1, 5	1	5	6	6	2, 4	2	1	3	2	1	A	2	1, 4	1	90	NA	NA	10	NA	NA	NA	149	20180424	18.3	44.5	14.1	19.91	500	8.27142857142857	2.34285714285714	0.774285714285714	101.571428571429	55	48	4.78571428571429	23.7142857142857	0	2.9	0.151428571428571	23.7142857142857
PA1169.P222.ENN	ENN	P0222	PA1169	NA	NA	Soil	Cfb	70	Penrith	Penrith		M	54.66228	-2.75662	0		1	1	3	3	1, 5	1	5	6	1	4, 9	3	1	3	2	1	A	2	1, 4	1	90	NA	NA	10	NA	NA	NA	149	20180424	18.3	44.5	14.1	19.91	500	8.27142857142857	2.34285714285714	0.774285714285714	101.571428571429	55	48	4.78571428571429	23.7142857142857	0	2.9	0.151428571428571	23.7142857142857
PA1169.P222.ENN_rep	ENN	P0222	PA1169	NA	NA	Soil	Cfb	70	Penrith	Penrith		M	54.66228	-2.75662	0		1	1	3	3	1, 5	1	5	6	1	4, 9	3	1	3	2	1	A	2	1, 4	1	90	NA	NA	10	NA	NA	NA	149	20180424	18.3	44.5	14.1	19.91	500	8.27142857142857	2.34285714285714	0.774285714285714	101.571428571429	55	48	4.78571428571429	23.7142857142857	0	2.9	0.151428571428571	23.7142857142857
PA1188.P225.ENN	ENN	P0225	PA1188	NA	NA	Soil	Cfb	30	Hexham	Hexham		M	54.97908	-2.12989	0		0	0	3	3	3, 5	1	1	4	3	6, 7	4	1	2	12	3	A	2	3, 4	1	30	20	10	NA	NA	40	NA	75	20180424	12.4	88.9	11.3	11.5	50	8.51428571428571	2.34285714285714	0.77	75.5714285714286	56	71	4.55714285714286	24.8571428571429	0	2.81428571428571	0.164285714285714	24.8571428571429
PA1189.P225.ENN	ENN	P0225	PA1189	NA	NA	Soil	Cfb	30	Hexham	Hexham		M	54.97908	-2.12989	0		0	0	4	3	5	2	1	3	1	6, 7	4	1	2	12	3	A	2	3, 4	1	30	20	10	NA	NA	40	NA	75	20180424	12.4	88.9	11.3	11.5	50	8.51428571428571	2.34285714285714	0.77	75.5714285714286	56	71	4.55714285714286	24.8571428571429	0	2.81428571428571	0.164285714285714	24.8571428571429
PA1194.P227.ENN	ENN	P0227	PA1194	NA	NA	Soil	Cfb	20	Cambo	Cambo		M	55.16567	-1.9606	0		1	0	3	2	3, 5	4	1	6	3	4	4	1	4	4	3	A	4	4, 5	1	60	5	10	20	5	NA	NA	195	20180425	18.4	59.9	24	8.27	100	8.27142857142857	2.1	0.754285714285714	85	56.5714285714286	76	5.2	25.8571428571429	0	2.64285714285714	0.168571428571429	25.8571428571429
PA1196.P227.ENN	ENN	P0227	PA1196	NA	NA	Soil	Cfb	20	Cambo	Cambo		M	55.16567	-1.9606	0		1	0	3	2	2, 5	1	1	6	1	4	4	1	4	4	3	A	4	4, 5	1	60	5	10	20	5	NA	NA	195	20180425	18.4	59.9	24	8.27	100	8.27142857142857	2.1	0.754285714285714	85	56.5714285714286	76	5.2	25.8571428571429	0	2.64285714285714	0.168571428571429	25.8571428571429
PA1196.P227.ENN_rep	ENN	P0227	PA1196	NA	NA	Soil	Cfb	200	Cambo	Cambo		M	55.16567	-1.9606	0		1	0	3	2	2, 5	1	1	6	1	4	4	1	4	4	3	A	4	4, 5	1	60	5	10	20	5	NA	NA	195	20180425	18.4	59.9	24	8.27	100	8.27142857142857	2.1	0.754285714285714	85	56.5714285714286	76	5.2	25.8571428571429	0	2.64285714285714	0.168571428571429	25.8571428571429
PA1200.P226.ENN	ENN	P0226	PA1200	NA	NA	Soil	Cfb	200	Low_Light_Harbour	Low_Light_Harbour		M	55.01078	-1.43359	0		0	0	2	2	1	1	1	3	6	6, 4	4	1	1	12	3	A	2	1, 4	1	50	NA	NA	NA	NA	50	NA	0	20180425	16	51.8	18.6	14.14	50	9.6	3.47142857142857	0.824285714285714	61.5714285714286	57.8571428571429	76	6.81428571428571	30.8571428571429	0	2.55714285714286	0.184285714285714	30.8571428571429
PA1202.P226.ENN	ENN	P0226	PA1202	NA	NA	Soil	Cfb	150	Low_Light_Harbour	Low_Light_Harbour		M	55.01078	-1.43359	0		0	0	2	3	1, 5	2	1	5	4	4	4	1	1	12	3	A	2	1, 4	1	50	NA	NA	NA	NA	50	NA	0	20180425	16	51.8	18.6	14.14	50	9.6	3.47142857142857	0.824285714285714	61.5714285714286	57.8571428571429	76	6.81428571428571	30.8571428571429	0	2.55714285714286	0.184285714285714	30.8571428571429
PA1208.P228.ENN	ENN	P0228	PA1208	NA	NA	Soil	Cfb	150	Jedburgh	Jedburgh		M	55.4767	-2.55439	1	RL	1	0	2	4	2	2	2	3	5	3	4	1	3	6	3	E	1	3	1	15	10	NA	15	15	45	NA	75	20180425	16.1	53.9	17.9	21.44	50	8.04285714285714	1.72857142857143	0.745714285714286	88.2857142857143	55.4285714285714	67	4.55714285714286	23.2857142857143	0	2.44285714285714	0.157142857142857	23.2857142857143
PA1210.P228.ENN	ENN	P0228	PA1210	NA	NA	Soil	Cfb	50	Jedburgh	Jedburgh		M	55.4767	-2.55439	1	RL	1	0	3	5	1, 4, 2008	4	2	5	6	6	4	1	3	6	3	E	1	3	1	15	10	NA	15	15	45	NA	75	20180425	16.1	53.9	17.9	21.44	50	8.04285714285714	1.72857142857143	0.745714285714286	88.2857142857143	55.4285714285714	67	4.55714285714286	23.2857142857143	0	2.44285714285714	0.157142857142857	23.2857142857143
PA1236.P093.BNE	BNE	P0093	PA1236	NA	NA	Soil	Cfb	50	Lille	Lille		M	51.2502	4.81116	0		1	0	3	3	1	1	1	6	2	6	4	1	2	2	1	A	2	3	1	35	15	NA	NA	15	35	NA	5	20180423	21.3	51.3	20.3	4.57	100	10.4714285714286	4.12857142857143	0.844285714285714	69.5714285714286	66.2857142857143	57.2857142857143	4.3	31	1.28571428571429	-1.54285714285714	0.244285714285714	32.2857142857143
