Tour_ID	Site_ID	Site_Name	Plant_ID	Correct_Species	For	Lat	Long	HpA_plant	HpA_where	HpA_site	Albugo_tour	Developmental_state	R_diameter	Rosette_color	Herbivory	Disease_RL	Ath-Ath	Ath-other	Growing_on	Humidity_ground	Slope	Sun	Site_type	Site_category	Slope	Sun	Aspect	Ground_cover	Ground_type	Humidity_ground	Heterogeneity	Strata_herbs	Strata_shrubs	Strata_trees	Strata_wall_shrub	Strata_wall_tree	Strata_road	Strata_water	Elevation	Date	Time	Air_temp	Air_hum	Soil_temp	Soil_hum	Pop_size
SPS	P0006	Rel	PA0031		M	38.60214	-2.70252	0		1	0	1	2	1	2	1	1	3	2	2	2	2	1	4	3	2	W	3	2	3	1	25	50	5			20		1028	20180217	17:50	16.5	45.2	15.3	2.91	100
SPS	P0007	Mdc	PA0037		M	38.87526	-3.52762	0		0	0	1	2	1	1	1	6	3	6, 7	2	1	2	1	4	1	1	A	3	3, 4	2	1	15	60	15			10		726	20180218	14:20	29.3	28.1	16.1	2.86	100
SPS	P0007	Mdc	PA0040		M	38.87519	-3.53771	0		0	0	1	2	1, 5	1	1	3	4	6	2	1	2	1	4	1	1	A	3	3, 4	2	1	15	60	15			10		726	20180218	14:20	29.3	28.1	16.1	2.86	100
SPS	P0008	Mar	PA0043		M	39.58164	-3.9288	0		0	0	1	2	1	2	1	5	2	7	2	2	1	1	4	3	1	E, S	3	1, 3	1	1	10	75			5		10	969	20180219	17:10	16	49.7	16.3	2.89	100
SPS	P0008	Mar	PA0046		M	39.58164	-3.9288	0		0	0	1	2	1	1	1	6	2	2, 7	2	2	1	1	4	3	1	E, S	3	1, 3	1	1	10	75			5		10	969	20180219	17:10	16	49.7	16.3	2.89	100
SPS	P0009	Cmo	PA0049		M	40.04821	-4.65227	0		1	0	1	2	1	1	1	3	3	6	2	1	2	12	3	1	2	S	3	3	2	1	45	10	25			20		393	20180220	13:24	27.4	35.8	20.1	2.86	100
SPS	P0009	Cmo	PA0052		M	40.04813	-4.65226	0		1	0	1	2	2, 4	1	1	3	4	4, 5	2	1	2	12	3	1	2	S	3	3	2	1	45	10	25			20		393	20180220	13:24	27.4	35.8	20.1	2.86	100
SPS	P0010	Ali	PA0057		M	39.72537	-5.74386	0		0	0	1	3	1	2	1	6	3	4	3	3	3	12	1	4	3	E, S	3	2, 3, 2004	3	1	20				80			451	20180220	18:41	16.8	52.8	9.6	2.89	100
SPS	P0010	Ali	PA0060		M	39.72531	-5.74381	0		0	0	2	3	1	1	1	3	1	4	3	3	3	12	1	4	3	E, S	3	2, 3, 2004	3	1	20				80			451	20180220	18:41	16.8	52.8	9.6	2.89	100
SPS	P0011	Her	PA0063		M	39.39484	-5.78286	0		1	0	1	2	1	1	3	6	1	4, 5	3	1	3	2	1	1	3	N, E	4	3, 4	3	1	15		5	55		20	5	577	20180221	10:20	7.4	68.9	n/a	n/a	50
SPS	P0011	Her	PA0066		M	39.39484	-5.78286	0		1	0	1	2	2	1	1	1	3	4	3	1	3	2	1	1	3	N, E	4	3, 4	3	1	15		5	55		20	5	577	20180221	10:20	7.4	68.9	n/a	n/a	50
SPS	P0012	Zaz	PA0072		M	39.25705	-6.03331	0		0	0	1	2	1	1	3	4	3	2	2	5	4	12	1	1	4	A	2	1	2	1	2			30	30	28		449	20180221	12:46	18.7	39	n/a	n/a	30
SPS	P0012	Zaz	PA0075		M	39.25705	-6.03331	0		0	0	1	2	1	1	1	3	2	5	2	1	3	12	1	1	4	A	2	1	2	1	2			30	30	28		449	20180221	12:46	18.7	39	n/a	n/a	30
SPS	P0013	Tsm	PA0078		M	39.22976	-6.07479	0		0	0	2	4	1	1	1	6	3	4, 6	2	2	1	5	3	2	1	W	3	2, 3	2	1	30		30		10	30		536	20180221	16:10	23.1	26.8	16.9	2.74	100
SPS	P0013	Tsm	PA0081		M	39.22976	-6.07479	0		0	0	1	3	1	1	1	6	2	4, 6	2	2	1	5	3	2	1	W	3	2, 3	2	1	30		30		10	30		536	20180221	16:10	23.1	26.8	16.9	2.74	100
SPS	P0014	Mot	PA0084		M	38.19125	-6.23774	0		0	0	2	3	1	1	1	6	2	3	2	1	1	1	4	1	1	A	1	2	2	1	65		20			15		520	20180221	19:11	14.3	37.5	12.6	2.89	30
SPS	P0014	Mot	PA0087		M	38.19125	-6.23774	0		0	0	2	2	1	1	1	2	1	5	2	1	1	1	4	1	1	A	1	2	2	1	65		20			15		520	20180221	19:11	14.3	37.5	12.6	2.89	30
ITA	P0015	Madonna_de_Vizzini	PA0093		M	37.16769	14.7722	0		0	0	1	3	1	3	1	5	3	6	3	1	3	2	3	1	3	A	2	3	3	1	20	20		20		40		668	20180304	13:20	18.3	50.4	15.2	7.11	100
ITA	P0015	Madonna_de_Vizzini	PA0095		M	37.16769	14.7722	0		0	0	1	2	1	1	1	5	3	6	3	1	3	2	3	1	3	A	2	3	3	1	20	20		20		40		668	20180304	13:20	18.3	50.4	15.2	7.11	100
ITA	P0016	Etna	PA0098		M	37.68949	15.09558	0		0	0	1	3	1	1	1	1	5	1	3	3	3	7, 12	1	3	3	E	2	1, 4	3	2	20	10	10	10	20	30		723	20180305	9:50	19.8	60.6	18.8	4.11	200
ITA	P0016	Etna	PA0101		M	37.68949	15.09558	0		0	0	2	1	1, 5	1	1	6	3	2	3	5	3	7, 12	1	3	3	E	2	1, 4	3	2	20	10	10	10	20	30		723	20180305	9:50	19.8	60.6	18.8	4.11	200
ITA	P0017	Melic	PA0105		M	38.45387	16.03774	0		1	0	1	2	1	1	1	6	5	6	3	2	3	7, 12	3	1	3	A	3	3	3	2	15	40		15		30		104	20180305	15:14	18	66.8	14.4	12.44	10000
ITA	P0017	Melic	PA0106		M	38.45387	16.03774	0		1	0	4	3	1	1	1	4	2	2	3	5	3	7, 12	3	1	3	A	3	3	3	2	15	40		15		30		104	20180305	15:14	18	66.8	14.4	12.44	10000
ITA	P0018	Giffo	PA0110		M	38.43953	16.133331	0		1	0	3	3	1	2	3	6	3	5, 6	3	4	4	5	2	4	3	E, S	4	4, 5	3	2	25	5	40		5	25		403	20180305	17.02	15.1	69.1	12.1	1.93	200
ITA	P0018	Giffo	PA0113		M	38.43953	16.133331	0		1	0	4	2	2, 3	1	1	1	3	4	3	5	3	5	2	4	3	E, S	4	4, 5	3	2	25	5	40		5	25		403	20180305	17.02	15.1	69.1	12.1	1.93	200
ITA	P0019	Angel	PA0117		M	38.619249	16.169818	0		0	0	3	5	2	1	3	5	1	6	3	4	4	13	3	4	4	S, W	3	3	4	1	20	20	20		20	20		269	20180306	7:59	16.3	63.1	11.8	13.84	100
ITA	P0019	Angel	PA0118		M	38.619249	16.169818	0		0	0	2	3	1	2	1	6	4	6	4	4	4	13	3	4	4	S, W	3	3	4	1	20	20	20		20	20		269	20180306	7:59	16.3	63.1	11.8	13.84	100
ITA	P0020	Angit	PA0120		M	38.760166	16.234963	0		1	0	1	1	1	1	1	2	4	3	3	1	3	1	4	1	1	A	3	2, 5	3	2	20	50	10		5	15		22	20180306	9:51	16.8	69.7	13	26.5	5000
ITA	P0020	Angit	PA0122		M	38.760166	16.234963	0		1	0	1	1	1, 4	1	1	6	3	6	3	1	2	1	4	1	1	A	3	2, 5	3	2	20	50	10		5	15		22	20180306	9:51	16.8	69.7	13	26.5	5000
ITA	P0021	Nicas	PA0134		M	38.96973	16.3407	1		1	0	1	1	2, 4	1	2	3	3	6	4	4	3	5	1	4	2	S	3	3	4	1	20	25	15	10		30		325	20180306	12:12	17.7	63.2	14.3	15.73	10000
ITA	P0021	Nicas	PA0135		M	38.96973	16.3407	1		1	0	1	2	2, 6	5	2	6	3	6	4	4	3	5	1	4	2	S	3	3	4	1	20	25	15	10		30		325	20180306	12:12	17.7	63.2	14.3	15.73	10000
ITA	P0022	Bivio	PA0141		M	39.129334	16.167818	0		1	0	2	2	1	2	3	5	2	3, 6	3	4	3	1	4	4	2	S, W	4	2, 3	3	1	10	35	15		20	20		421	20180306	14:55	16.8	67.8	13.7	5.65	10000
ITA	P0022	Bivio	PA0142		M	39.129334	16.167818	0		1	0	3	2	1	1	1	6	4	6	3	4	3	1	4	4	2	S, W	4	2, 3	3	1	10	35	15		20	20		421	20180306	14:55	16.8	67.8	13.7	5.65	10000
ITA	P0023	Timpo	PA0150		M	39.26974	16.27086	0		1	0	3	2	1, 3, 2005	2	1	3	3	6	5	4	3	13	2	4	3	E, S	2	3, 4	5	1	50		20			30		438	20180306	17:20	12.5	73.2	10.2	17.25	10000
ITA	P0023	Timpo	PA0151		M	39.26974	16.27086	0		1	0	3	2	1	3	1	6	3	6	5	4	3	13	2	4	3	E, S	2	3, 4	5	1	50		20			30		438	20180306	17:20	12.5	73.2	10.2	17.25	10000
ITA	P0024	Bisig	PA0160		M	39.48333	16.2784	0		1	0	2	4	1	1	1	5	3	6	3	1	2	1	4	1	1	S, W	3	2, 3	3	2	30	25	5	10		30		180	20180307	9:00	19.4	61.7	15.6	8.46	100000
ITA	P0024	Bisig	PA0161		M	39.48333	16.2784	1		1	0	2	2	1, 4	2	2, 3	5	3	6	3	1	2	1	4	1	1	S, W	3	2, 3	3	2	30	25	5	10		30		180	20180307	9:00	19.4	61.7	15.6	8.46	100000
SPB	P0049	Pla	PA0170		M	41.49955	2.25038	0		0	0	1	3	1, 4	2	3	6	2	3, 6	3	2	3	1	4	2	3	N, E	2	2, 3	3	1	15	15	45			25		215	20180222	11:00	9.6	51.6	10.5	1.26	10
SPB	P0050	Cab	PA0174		M	41.54554	2.39065	0		0	0	2	3	2	2	1	5	2	3, 6	3	3	4	14	4	2	4	N	2	3, 4	3	1	5	5	80			10		139	20180222	14:30	10.3	62.7	12.6	0.27	50
SPB	P0050	Cab	PA0177		M	41.54554	2.39065	0		0	0	1	2	2	1	1	6	5	4	3	3	4	14	4	2	4	N	2	3, 4	3	1	5	5	80			10		139	20180222	14:30	10.3	62.7	12.6	0.27	50
SPB	P0051	LL	PA0179		M	41.5901	2.48788	0		0	0	2	4	1	2	1	6	5	5, 6	3	1	3	14	4	2	3	N, E	1	2, 3	3	1	10		60	15		15		311	20180222	14:30	8.5	62.1	10	2.48	500
SPB	P0051	LL	PA0183		M	41.5901	2.48788	0		0	0	1	4	1	2	3	4	6	5, 6	3	2	3	14	4	2	3	N, E	1	2, 3	3	1	10		60	15		15		311	20180222	14:30	8.5	62.1	10	2.48	500
SPB	P0052	Bla	PA0186		M	41.68125	2.80026	0		1	0	2	3	1	3	1	6	3	4	3	2	3	14	3	3	2	N, W	4	3, 4	3	1	25	10	50			15		52	20180223	9:35	7.4	56.1	6.9	-0.47	1000
SPB	P0052	Bla	PA0187		M	41.68125	2.80026	0		1	0	2	3	5	1	1	3	3	6, 7	3	2	3	14	3	3	2	N, W	4	3, 4	3	1	25	10	50			15		52	20180223	9:35	7.4	56.1	6.9	-0.47	1000
SPB	P0053	Ts	PA0192		M	41.72021	2.93283	0		0	0	4	4	1, 5, 7, 8	4	3	6	3	3, 5	2	1	1	8	1	2	1	E	3	2, 3	2	1	55	15	15	15				2	20180223	13:22	20	32.7	21.8	-0.36	1000
SPB	P0053	Ts	PA0195		M	41.72021	2.93283	0		0	0	3	3	1	2	3	2	1	5	2	1	2	8	1	2	1	E	3	2, 3	2	1	55	15	15	15				2	20180223	13:22	20	32.7	21.8	-0.36	1000
SPB	P0054	pCB7	PA0197		M	41.72473	2.92705	0		0	0	2	4	5, 6	4	3	6	5	3, 5	2	1	2	2	1	1	2	A	1	2	2	1	75		5	5		15		1	20180223	14:52	15.7	35.8	17.6	1.51	200
SPB	P0054	pCB7	PA0198		M	41.72473	2.92705	0		0	0	2	4	5, 6	3	3	6	6	3, 5	2	1	2	2	1	1	2	A	1	2	2	1	75		5	5		15		1	20180223	14:52	15.7	35.8	17.6	1.51	200
SPB	P0055	pCB21	PA0203		M	41.72872	2.9077	0		1	0	2	3	1	1	1	3	1	5	2	1	3	11	2	1	2	N	3	2, 3	2	1	90		10					13	20180223	16:25	15.2	43.6	13.6	1.13	100000
SPB	P0055	pCB21	PA0205		M	41.72872	2.9077	0		1	0	2	3	1	2	1	4	3	5	2	1	2	11	2	1	2	N	3	2, 3	2	1	90		10					13	20180223	16:25	15.2	43.6	13.6	1.13	100000
SPB	P0056	pCB0	PA0212		M	41.81333	2.89628	0		0	0	2	4	1	2	1	6	3	5	3	1	2	11	2	1	2	A	2	2, 3	3	1	60	15	5			20		131	20180224	10:00	7.4	68.5	n/a	5.3	100
SPB	P0056	pCB0	PA0214		M	41.81333	2.89628	0		0	0	2	4	1	3	1	6	3	5	3	1	2	11	2	1	2	A	2	2, 3	3	1	60	15	5			20		131	20180224	10:00	7.4	68.5	n/a	5.3	100
SPB	P0057	pCB20	PA0219		M	41.98849	2.76073	0		0	0	2	3	1	2	1	6	2	5	3	1	2	12	1	1	2	A	1	2	2	1	25		20	5	10	35		92	20180224	13:00	23.5	29.7	21.3	2.69	200
SPB	P0057	pCB20	PA0221		M	41.98849	2.76073	0		0	0	2	4	1	2	3	3	6	3	3	1	2	12	1	1	2	A	1	2	2	1	25		20	5	10	35		92	20180224	13:00	23.5	29.7	21.3	2.69	200
SPB	P0058	Mat	PA0226		M	41.76004	2.69002	0		0	0	1	3	1, 6	2	3	2	3	3, 5	3	2	3	14	4	2	3	S	3	2	3	1	15	20	50			15		58	20180224	15:45	13.3	56.1	11.6	0.38	100
SPB	P0058	Mat	PA0227		M	41.76004	2.69002	0		0	0	2	4	1, 5, 2008	3	1	1	1	3, 5	3	2	3	14	4	2	3	S	3	2	3	1	15	20	50			15		58	20180224	15:45	13.3	56.1	11.6	0.38	100
SPB	P0059	Sfb	PA0232		M	41.78333	2.56798	0		0	0	2	4	1	1	1	6	3	4, 6	3	2	4	14	4	2	3	N	3	3	3	1	20		50			30		257	20180224	17:39	9.7	63.5	9.8	2.14	20
ITA	P0025	Basen	PA0234		M	40.34001	16.72877	0		1	0	3	3	1	3	3	4	3	6	4	1	2	1	2	1	1	A	3	2, 3	3	1	70	10	10			10		44	20180307	14:08	20	50.4	18.2	18.58	5000
ITA	P0025	Basen	PA0236		M	40.34001	16.72877	0		1	0	3	3	2, 3, 2004	2	3	6	4	6	3	1	1	1	2	1	1	A	3	2, 3	3	1	70	10	10			10		44	20180307	14:08	20	50.4	18.2	18.58	5000
ITA	P0026	Valsi	PA0240		M	40.18058	16.44843	0		0	0	3	2	2, 5	2	1	6	3	6	3	1	4	5	2	1	2	A	3	2, 3	3	1	20	15	50			15		126	20180307	17:05	17.9	49.1	13.6	6.22	1000
ITA	P0026	Valsi	PA0243		M	40.18058	16.44843	0		0	0	2	3	1	2	3	6	3	6	3	1	4	5	2	1	2	A	3	2, 3	3	1	20	15	50			15		126	20180307	17:05	17.9	49.1	13.6	6.22	1000
ITA	P0028	Filet	PA0246		M	40.67525	14.86878	0		0	0	4	4	1	3	1	5	3	6	4	1	1	1	3	1	1	E, S	2	1, 3	4	2	40	15	15	10		20		70	20180308	12:22	20.2	52.4	21.9	13.58	300
ITA	P0028	Filet	PA0249		M	40.67525	14.86878	0		0	1	3	5	1	4	1	6	3	4, 6	4	1	2	1	3	1	1	E, S	2	1, 3	4	2	40	15	15	10		20		70	20180308	12:22	20.2	52.4	21.9	13.58	300
ITA	P0029	Sarno	PA0252		M	40.83693	14.57942	0		1	0	1	2	1	3	1	4	3	6	4	1	2	12	1	1	3	S, W	2	2, 3	4	1	40	20	20			20		53	20180308	15:22	19.4	51.9	16.9	7.57	300
ITA	P0029	Sarno	PA0255		M	40.83693	14.57942	0		1	0	2	2	1	3	1	6	6	5, 6	4	1	4	12	1	1	3	S, W	2	2, 3	4	1	40	20	20			20		53	20180308	15:22	19.4	51.9	16.9	7.57	300
ITA	P0030	Pigna	PA0258		M	41.17051	14.17522	0		1	0	3	2	2	1	1	5	3	3	4	1	4	4	3	1	3	S, W	3	2	4	1	70			15		15		55	20180309	7:36	13.5	67.9	9.9	8.27	1000
ITA	P0030	Pigna	PA0261		M	41.17051	14.17522	0		1	0	4	3	2	1	1	5	5	3	4	1	4	4	3	1	3	S, W	3	2	4	1	70			15		15		55	20180309	7:36	13.5	67.9	9.9	8.27	1000
ITA	P0031	Liri	PA0264		M	41.42244	13.77876	0		0	0	3	2	2, 3	1	1	6	2	6	4	1	2	5	2	1	1	A	3	3	4	1	60		20	5		15		34	20180309	10:56	20.8	56.1	27.4	15.93	100
ITA	P0031	Liri	PA0266		M	41.42244	13.77876	0		0	0	3	4	1	4	3	6	2	6	4	1	2	5	2	1	1	A	3	3	4	1	60		20	5		15		34	20180309	10:56	20.8	56.1	27.4	15.93	100
ITA	P0032	Ciste	PA0270		M	41.61725	12.8714	0		0	0	3	3	2	3	1	6	3	6	4	2	2	13	2	2, 4	1	W	2	3	4	1	30	35	25			10		96	20180309	16:04	19.5	55.2	16.4	26.74	100
ITA	P0032	Ciste	PA0273		M	41.61725	12.8714	0		0	0	2	2	1	1	1	6	4	4, 6	3	4	3	13	2	2, 4	1	W	2	3	4	1	30	35	25			10		96	20180309	16:04	19.5	55.2	16.4	26.74	100
ITA	P0033	Cerve	PA0275		M	42.002415	12.094183	0		0	0	3	2	5	1	1	3	3	4	3	4	3	2	3	4	2	W	5	1, 4	3	1	30	30	30		5	5		66	20180310	10:14	15.8	72.8	15.6	28.85	200
ITA	P0033	Cerve	PA0276		M	42.002415	12.094183	0		0	0	2	3	2	3	1	1	3	4	3	4	3	2	3	4	2	W	5	1, 4	3	1	30	30	30		5	5		66	20180310	10:14	15.8	72.8	15.6	28.85	200
FRS	P0060	MOU2	PA0282		M	43.96732	4.23756	0	0	0	0	3	5	1	2	1	6	1	6, 9	4	1	1	5	2	1	1	A	5	3, 5	4	1	65	25				10		69	20180316	13:48	25.9	41.9	24.3	0.8	200
FRS	P0060	MOU2	PA0283		M	43.96732	4.23756	0	0	0	0	3	3	1	3	1	6	1	6	4	1	1	5	2	1	1	A	5	3, 5	4	1	65	25				10		69	20180316	13:48	25.9	41.9	24.3	0.8	200
FRS	P0061	Noz	PA0285		M	43.97561	4.20833	0	0	1	0	3	2	1, 6	3	3	5	1	3, 6	3	1	1	3	1	1	1	A	3	2	3	1	60					40		94	20180316	16:03	25.4	37.1	24	5	1000
FRS	P0061	Noz	PA0290		M	43.97561	4.20833	0	0	1	0	3	3	1, 5	1	1	2	3	3, 4	3	1	1	3	1	1	1	A	3	2	3	1	60					40		94	20180316	16:03	25.4	37.1	24	5	1000
FRS	P0062	Qui	PA0291		M	43.91103	4.00467	0	0	0	0	4	3	1, 4, 2006	3	3	4	1	6, 7	4	1	3	2	1	1	3	A	4	3, 4	4	1	15	5		10		70		88	20180317	12:58	19.7	37.5	19.2	10.08	100
FRS	P0062	Qui	PA0292		M	43.91103	4.00467	0	0	0	0	3	3	1	3	3	2	2	6	4	1	3	2	1	1	3	A	4	3, 4	4	1	15	5		10		70		88	20180317	12:58	19.7	37.5	19.2	10.08	100
FRS	P0063	LEC	PA0295		M	43.8375435	4.0652455	0	0	0	0	3	2	2, 3	2	1	4	1	6, 9	3	3	1	4	3	3	1	S	5	5	3	1	60		10			30		125	20180317	16:05	19.5	39.7	22	3.08	500
FRS	P0063	LEC	PA0297		M	43.8375435	4.0652455	0	0	0	0	3	3	2, 5	2	1	6	3	6, 7	3	3	1	4	3	3	1	S	5	5	3	1	60		10			30		125	20180317	16:05	19.5	39.7	22	3.08	500
FRS	P0064	ISS	PA0300		M	43.83829	3.70065	0	0	0	0	3	2	1, 5	2	1	6	2	4	3	1	3	14	4	1	3	W	4	2, 3	3	1	20	30	50					180	20180318	11:08	17	45.4	14.2	4.16	1000
FRS	P0064	ISS	PA0302		M	43.83829	3.70065	0	0	0	0	1	2	1, 5	1	1	3	4	3, 6	3	1	3	14	4	1	3	W	4	2, 3	3	1	20	30	50					180	20180318	11:08	17	45.4	14.2	4.16	1000
FRS	P0065	VED	PA0303		M	43.56131	3.82113	0	0	0	0	3	3	2	2	1	1	3	4	3	1	2	14	3	1	2	A	4	3, 4	3	1	33	33	34					27	20180318	15:15	17.1	47.1	18.2	3.16	1000
FRS	P0065	VED	PA0305		M	43.56131	3.82113	0	0	0	0	3	2	1	1	1	2	3	6	3	1	2	14	3	1	2	A	4	3, 4	3	1	33	33	34					27	20180318	15:15	17.1	47.1	18.2	3.16	1000
FRS	P0067	Ag	PA0317		M	44.99942	1.30068	0	0	1	0	2	2	1	3	3	4	2	6	4	1	3	11	2	2	3	S, W	2	3	4	1	50		40			10		239	20180320	11:41	11.2	50.1	10.7	16.41	10000
FRS	P0067	Ag	PA0318		M	44.99942	1.30068	0	0	1	0	2	2	1	1	3	5	3	6	4	2	3	11	2	2	3	S, W	2	3	4	1	50		40			10		239	20180320	11:41	11.2	50.1	10.7	16.41	10000
FRS	P0068	CUR	PA0321		M	45.00064	1.74917	0	0	1	0	3	5	1, 6	3	3	6	1	6	4	1	2	11	2	1	2	A	1	3	4	1	80		15				5	132	20180320	15:19	22.6	29.5	24.9	16.9	50
FRS	P0068	CUR	PA0322		M	45.00064	1.74917	0	0	1	0	3	3	1, 5, 2008	4	3	6	6	6	4	1	2	11	2	1	2	A	1	3	4	1	80		15				5	132	20180320	15:19	22.6	29.5	24.9	16.9	50
FRS	P0069	ALL	PA0328		M	45.26641	1.48244	0	0	0	0	3	3	2	3	3	3	2	6	4	2	1	11	2	3	1	S, W	4	5	3	1	75	5	5			15		258	20180320	17:59	11.7	36.1	14	8.46	500
FRS	P0069	ALL	PA0329		M	45.26641	1.48244	0	0	0	0	2	3	1, 4	3	1	6	2	3, 6	3	3	1	11	2	3	1	S, W	4	5	3	1	75	5	5			15		258	20180320	17:59	11.7	36.1	14	8.46	500
FRS	P0071	FRS	PA0332		M	45.19445	4.95468	0	0	0	0	3	2	5	2	1	6	3	5, 6	3	2	1	11	2	3	1	S	1	2, 4	3	1	85					15		233	20180321	17:27	12.8	26.3	12.9	6.72	50
FRS	P0071	FRS	PA0335		M	45.19445	4.95468	0	0	0	0	3	2	5	1	1	6	2	5	3	2	1	11	2	3	1	S	1	2, 4	3	1	85					15		233	20180321	17:27	12.8	26.3	12.9	6.72	50
SPC	P0097	VAE	PA0337		M	42.1047	-5.44507	0		0	0	1	2	1	1	1	6	3	3, 6	3	1	1	1	2	1	1	A	2	2, 4	3	1	90	5			5			738	20180227	14:38	8.2	22.4	10	2.01	50
SPC	P0097	VAE	PA0339		M	42.1047	-5.44507	0		0	0	1	1	1	1	1	3	3	3, 6	3	1	1	1	2	1	1	A	2	2, 4	3	1	90	5			5			738	20180227	14:38	8.2	22.4	10	2.01	50
SPC	P0101	INI	PA0347		M	40.45935	-3.75122	0		0	0	1	3	1	1	1	1	5	3, 6	5	2	4	4	3	1	3	E	1	2, 4	5	1	35		45			20		602	20180301	13:55	10.3	95.7	12	20.15	60
SPC	P0101	INI	PA0352		M	40.45935	-3.75122	0		0	0	1	2	1	1	1	3	3	3, 6	4	2	4	4	3	1	3	E	1	2, 4	5	1	35		45			20		602	20180301	13:55	10.3	95.7	12	20.15	60
SPC	P0098	CHO	PA0353		M	40.5131	-3.89824	0		0	0	1	1	1, 5	2		5	3	3	4	1	3	2	3	1	2	A	2	2	4	1	80	10	10					718	20180302	9:47	6.3	84.5	6.6	7.21	100
SPC	P0098	CHO	PA0356		M	40.5131	-3.89824	0		0	0	1	2	1, 5	2	3	6	1	3	4	1	3	2	3	1	2	A	2	2	4	1	80	10	10					718	20180302	9:47	6.3	84.5	6.6	7.21	100
SPC	P0104	EES	PA0379		M	40.58862	-4.14671	0		0	1	1	3	1, 5	1	1	5	4	6	4	1	3	2	3	1	3	S, E	1	3	4	1	15	15			50	20		1088	20180303	14:10	11.5	71.2	12.5	7.93	20
SPC	P0104	EES	PA0382		M	40.58862	-4.14671	0		0	1	1	3	1, 2	3	3	5	2	6	4	1	3	2	3	1	3	S, E	1	3	4	1	15	15			50	20		1088	20180303	14:10	11.5	71.2	12.5	7.93	20
SPC	P0105	LAS	PA0385		M	40.56807	-4.15252	0		0	1	1	1	1	1	1	6	3	6, 4	3	3	3	1	3	3	3	N, E	2	3, 4	4	1	20	5	20	30		25		1051	20180303	16:12	6.2	86.2	7.8	11.29	30
SPC	P0105	LAS	PA0388		M	40.56807	-4.15252	0		0	1	1	1	1, 4	1	1	6	3	4, 7	3	3	3	1	3	3	3	N, E	2	3, 4	4	1	20	5	20	30		25		1051	20180303	16:12	6.2	86.2	7.8	11.29	30
SPC	P0110	ESP	PA0415		M	40.72716	-4.2752	0		0	0	1	3	1	1	1	4	4	6	4	2	2	1	2	2	2	E	3	3, 5	4	1	50	10	10	10		20		1146	20180304	14:17	8.8	67.4	19	30.88	200
